student_id,attendance,homework_score,exam_score,participation,final_result
128,61,51,68,72,Pass
129,52,73,42,97,Fail
130,66,68,81,69,Pass
131,84,79,32,24,Fail
132,79,95,100,22,Pass
133,99,86,53,53,Pass
134,90,56,33,84,Fail
135,89,59,31,63,Fail
136,80,47,80,90,Pass
137,67,81,41,31,Fail
138,70,48,71,33,Pass
139,83,45,38,91,Fail
140,71,55,65,53,Pass
141,66,80,54,51,Pass
142,92,67,32,32,Fail
143,73,48,58,52,Fail
144,95,69,94,94,Pass
145,50,97,97,80,Pass
146,96,57,30,93,Pass
147,92,99,80,24,Pass
148,65,49,91,70,Pass
149,77,78,53,100,Pass
150,55,65,81,38,Pass
151,54,55,42,47,Fail
152,61,53,81,24,Pass
153,86,54,60,51,Pass
154,91,64,95,37,Pass
155,89,47,49,92,Pass
156,68,94,93,40,Pass
157,59,73,42,52,Fail
158,60,77,59,43,Pass
159,96,50,57,52,Pass
160,53,79,95,69,Pass
161,51,66,96,86,Pass
162,91,41,100,86,Pass
163,89,58,64,65,Pass
164,63,50,59,56,Fail
165,99,40,57,70,Pass
166,81,92,55,40,Pass
167,67,69,100,58,Pass
168,83,49,76,70,Pass
169,80,41,36,90,Fail
170,85,63,95,64,Pass
171,59,92,73,97,Pass
172,55,66,78,55,Pass
173,63,69,33,68,Fail
174,98,59,36,45,Pass
175,99,65,37,20,Fail
176,58,55,43,22,Fail
177,84,45,97,62,Pass
178,100,97,79,54,Pass
179,85,49,73,92,Pass
180,58,82,44,83,Fail
181,73,92,41,43,Pass
182,74,67,78,26,Pass
183,98,51,87,61,Pass
184,61,95,89,22,Pass
185,60,76,83,29,Pass
186,73,44,62,58,Pass
187,51,72,32,79,Fail
188,64,90,86,94,Pass
189,100,62,81,55,Pass
190,67,51,53,100,Pass
191,65,61,100,39,Pass
192,58,97,36,20,Fail
193,53,56,98,48,Pass
194,50,93,89,62,Pass
195,67,65,64,41,Pass
196,58,87,34,52,Fail
197,64,90,57,78,Pass
198,97,89,91,60,Pass
199,77,65,47,52,Pass
200,91,47,36,26,Fail
